date,AEP,AMZN,CAT,JPM,XOM
1/3/2011,27.2545229,184.22,77.19761745,36.31429643,60.4157331
1/4/2011,27.45000361,185.01,76.83684261,36.83926217,60.69937504
1/5/2011,27.03648672,187.42,77.5009963,37.28974228,60.53729393
1/6/2011,27.17181952,185.86,76.69745233,37.10621334,60.92628859
1/7/2011,27.06656067,185.49,76.85324146,36.40546651,61.25855486
1/10/2011,26.88611693,184.68,76.5744609,36.20525313,60.88576831
1/11/2011,27.00641276,184.34,77.03362889,36.37209761,61.33959542
1/12/2011,27.02896823,184.08,76.65645519,37.2980845,62.06085635
1/13/2011,26.81845053,185.53,77.18941802,37.08118667,62.16620907
1/14/2011,26.65304377,188.75,77.08282546,37.46492899,63.08196733
1/18/2011,27.22444894,191.25,79.26387338,37.3314534,63.78702015
1/19/2011,27.02896823,186.87,78.69552596,36.46386208,63.40612955
1/20/2011,27.41992966,181.96,77.10580056,37.3314534,63.00903083
1/21/2011,27.39737419,177.42,76.39742551,37.78193351,64.00582965
1/24/2011,27.63044735,176.85,77.8965448,37.55669345,63.68977149
1/25/2011,27.56278095,176.7,77.74828025,37.43156009,63.76270799
1/26/2011,27.37481872,175.39,78.86850126,37.52332456,64.55690542
1/27/2011,27.58533642,184.45,79.59335015,37.62343125,64.73519464
1/28/2011,26.96130182,171.14,78.81084283,37.15626669,64.0139337
1/31/2011,26.82596902,169.64,79.90635308,37.48995566,65.38351907
2/1/2011,27.02896823,172.11,80.730045,38.31583586,68.00112897
2/2/2011,26.83348751,173.53,81.61963227,37.91540909,67.5959262
2/3/2011,26.93122787,173.71,81.48784157,37.92375132,67.62023836
2/4/2011,26.78085809,175.93,82.03147823,37.19797781,67.49057348
2/7/2011,27.09663463,176.43,82.75632712,37.95712022,68.01733708
2/8/2011,27.28459685,183.06,82.87164399,38.1573336,67.60403025
2/9/2011,27.21606172,185.3,82.19621662,37.63177347,67.25370809
2/10/2011,27.11706654,186.21,82.86340707,37.98214689,67.78326485
2/11/2011,27.3074419,189.25,85.28506131,38.84973821,67.47367782
2/14/2011,27.04853141,190.42,85.05442758,38.82471153,69.17640647
2/15/2011,27.28459685,189.03,84.84026768,39.05829381,67.59588322
2/16/2011,27.23890677,186.62,85.29329823,39.99262293,68.18246917
2/17/2011,27.29982688,187.76,85.13679677,39.89251624,68.33726268
2/18/2011,27.23129175,186.5,87.19602657,40.04267627,68.84237836
2/22/2011,27.11706654,180.42,84.02481268,38.38257365,69.6081989
2/23/2011,26.9419212,176.68,82.38566576,38.34086253,70.9361643
2/24/2011,26.73631581,177.75,82.83869631,38.29915141,70.03999133
2/25/2011,26.86577106,177.24,84.01657576,38.94150267,69.52672863
2/28/2011,27.24652178,173.29,84.78260924,38.9498449,69.68152214
3/1/2011,26.88100109,169.44,82.25387505,38.04054246,69.08678917
3/2/2011,27.10183651,172.02,83.16817308,37.71519571,69.31490593
3/3/2011,27.38359204,172.79,85.86988258,38.44096922,69.91778593
3/4/2011,26.90384613,171.67,84.87321535,37.97380466,69.31490593
3/7/2011,27.11706654,169.08,84.12365571,37.69851126,69.02161295
3/8/2011,27.39882207,166.89,85.77103955,38.7079204,68.92384863
3/9/2011,27.64250254,169.05,84.31310485,38.84139598,68.74461403
3/10/2011,27.22367674,166.14,81.04304793,37.98214689,66.30050593
3/11/2011,27.26936683,168.07,82.38566576,38.1573336,66.90338593
3/14/2011,26.91146115,166.73,84.09894495,37.79027573,67.11520863
3/15/2011,26.59163054,165.08,82.98696086,37.21466226,66.30865295
3/16/2011,26.08903958,164.7,82.69866869,36.54728432,64.61407133
3/17/2011,25.58644863,160.97,84.93911071,37.17295114,66.12127133
3/18/2011,25.74636393,161.82,86.53707303,38.1573336,65.8687135
3/21/2011,25.93673929,164.525,88.62101359,38.06556913,67.48997187
3/22/2011,26.01288944,162.6,87.96206005,37.93209354,67.26185512
3/23/2011,26.27179993,165.32,87.93734929,38.04054246,67.29444322
3/24/2011,26.50786538,171.1,89.26349328,38.14899137,67.40035458
3/25/2011,26.43171523,170.98,89.85655147,38.25744029,68.12543998
3/28/2011,26.4164852,169.35,90.11189596,38.34086253,68.00323458
3/29/2011,26.7287008,174.62,91.05090475,38.39091588,67.82399998
3/30/2011,27.03330138,179.42,91.86635975,38.74963152,68.83423133
3/31/2011,26.75916086,180.13,91.7180952,38.45765367,68.54093836
4/1/2011,27.04853141,180.13,93.1760299,38.66620927,68.98902485
4/4/2011,26.9952263,182.94,93.3901898,38.86642266,69.14381836
4/5/2011,26.88100109,185.29,92.50883945,39.06771617,69.59190485
4/6/2011,27.08660648,182.76,91.42980303,39.95676252,69.3963762
4/7/2011,27.01045633,184.91,90.48255732,39.75546901,69.86890376
4/8/2011,26.8886161,184.71,90.45784657,39.28578414,70.02369728
4/11/2011,26.48502034,184.04,89.84007763,39.3025586,69.38008214
4/12/2011,26.34033506,180.48,87.78084783,39.11803955,67.76697079
4/13/2011,26.59163054,182.29,88.65396126,38.79093759,67.75067674
4/14/2011,26.7820059,181.82,88.61277667,37.71737218,67.97879349
4/15/2011,27.00284132,180.01,88.30801066,37.65027434,68.67129079
4/18/2011,26.8886161,178.34,85.5815904,36.87026198,67.70179458
4/19/2011,26.75154584,178.82,87.39371263,37.4490647,68.27208647
4/20/2011,27.05614642,183.87,89.55178546,37.37349576,69.77928647
4/21/2011,27.02568636,185.89,90.49460994,37.47414252,70.35772539
4/25/2011,27.10183651,185.42,90.0231977,37.41543191,70.24366701
4/26/2011,27.32267193,182.3,92.57874828,37.84318063,71.22131025
4/27/2011,27.58919743,196.63,93.13286443,38.16189536,71.51460322
4/28/2011,27.70342265,195.07,93.1576756,38.4554484,71.15613403
4/29/2011,27.7795728,195.81,95.44857369,38.27092934,71.67754376
5/2/2011,27.82526288,201.19,94.58845311,37.89350401,70.85469403
5/3/2011,28.13747848,198.45,93.67871018,38.51415901,69.75484539
5/4/2011,27.90141303,199.97,91.61111262,38.16189536,69.0949362
5/5/2011,27.91664306,197.11,90.46979877,37.88511678,67.31073728
5/6/2011,28.01563824,197.6,91.25548584,37.77608279,67.36776647
5/9/2011,28.13130975,200.8,92.34717735,37.70898495,67.76697079
5/10/2011,28.41663279,203.94,93.34789457,37.87672955,67.89732322
5/11/2011,28.42434422,204.38,90.9577518,37.09671718,66.47159349
5/12/2011,29.01812461,206.07,89.84124911,36.97929596,66.41423389
5/13/2011,28.97956744,202.56,87.93905936,36.19089637,66.26673775
5/16/2011,29.08752751,192.51,87.74056999,35.96444116,65.75050126
5/17/2011,29.95891951,194.81,84.42414351,36.74445353,65.88980317
5/18/2011,29.87409374,197.09,87.04585721,36.97090873,66.97963575
5/19/2011,29.67359647,198.805,87.08720917,36.90381089,67.46309532
5/20/2011,29.7275765,198.65,86.28498131,36.17412191,66.84033384
5/23/2011,29.60419356,196.22,84.2670061,35.68766258,66.10285315
5/24/2011,29.95891951,193.27,83.98581283,35.51153076,66.6108954
5/25/2011,29.71215363,192.26,85.39177917,35.45282015,67.15990881
